Date,Close,High,Low,Open,Volume
2015-01-02,1727.2642822265625,1731.253345234014,1715.2970932042074,1719.286156211659,84546800
2015-01-05,1723.2755126953125,1731.2536400689019,1715.2973853217231,1731.2536400689019,33363200
2015-01-06,1711.308349609375,1727.264604617388,1703.3302221053686,1715.2974133613782,58600000
2015-01-07,1731.2537841796875,1731.2537841796875,1711.3084640854515,1715.2975281042986,50244400
2015-01-08,1747.2098388671875,1751.198902426245,1735.242648190015,1739.2317117490725,63649600
2015-01-09,1775.1331787109375,1791.0894320027214,1747.2097354503162,1755.187862096208,170824800
2015-01-12,1727.2642822265625,1775.133038315982,1727.2642822265623,1759.1767862861755,53126800
2015-01-13,1715.29736328125,1735.242681458939,1695.352045103561,1735.242681458939,80360800
2015-01-14,1711.308349609375,1755.1880508814104,1711.308349609375,1727.264604617388,59552800
2015-01-15,1739.231689453125,1747.2098164689648,1715.2973084056048,1739.231689453125,102689600
2015-01-16,1707.3193359375,1735.2427830205897,1707.3193359375,1715.2974636755255,95469200
2015-01-19,1711.308349609375,1739.2317958733975,1699.3411583533655,1699.3411583533655,100006000
2015-01-20,1715.29736328125,1715.29736328125,1691.3629814680232,1703.3301723746367,146990400
2015-01-21,1751.19873046875,1751.19873046875,1699.3409092931379,1715.297161962557,74948000
2015-01-22,1755.1878662109375,1759.176929543235,1735.2425495494494,1751.1988028786398,71265600
2015-01-23,1815.0244140625,1815.0244140625,1767.1556383070053,1767.1556383070053,134785600
2015-01-26,1771.1444091796875,1787.1006651182433,1739.231897302576,1779.1225371489654,150832800
2015-01-27,1767.155029296875,1775.133155839976,1755.1878394822236,1755.1878394822236,69340000
2015-01-28,1751.19873046875,1783.1112358075884,1751.19873046875,1779.1221726402337,64691600
2015-01-29,1751.19873046875,1759.1768568034597,1743.2206041340405,1747.2096673013953,48526400
2015-01-30,1755.1878662109375,1795.0784995339131,1755.1878662109373,1775.1331828724253,98195200
2015-02-02,1795.078369140625,1803.0564952256943,1747.209612630208,1755.1877387152776,107672400
2015-02-03,1811.034912109375,1815.0239757924353,1799.0677210601941,1811.034912109375,79597600
2015-02-04,1815.0244140625,1826.9916080013736,1787.1009615384614,1819.0134787087911,135804000
2015-02-05,1795.078369140625,1811.0346213107637,1791.0893060980902,1807.0455582682291,111271200
2015-02-06,1811.034912109375,1830.9802305246765,1803.0567847432544,1811.034912109375,107253600
2015-02-09,1866.881591796875,1886.8269079485513,1819.0128330328528,1819.0128330328528,128836000
2015-02-10,1854.914306640625,1866.8814957157258,1842.9471175655242,1850.9252436155914,79794000
2015-02-11,1874.8599853515625,1902.783431941905,1866.8818577543218,1886.8271767474237,123487600
2015-02-12,1878.8487548828125,1910.7612602736033,1874.8596917089635,1902.7831339259055,98841600
2015-02-13,1898.79443359375,1906.7725614659928,1890.8163057215074,1894.8053696576287,84660800
2015-02-16,1878.8487548828125,1906.7721970997543,1874.8596917089635,1898.7940707520568,85716800
2015-02-17,1866.881591796875,1890.8159711788865,1858.9034653362048,1878.8487814878808,28532800
2015-02-18,1902.7833251953125,1962.6192788178064,1894.8051980456464,1914.750515919811,167238000
2015-02-20,1926.7176513671875,1946.6629686691253,1910.7613975256374,1910.7613975256374,74989600
2015-02-23,1894.8052978515625,1922.728744346217,1886.827170281661,1898.794361636513,118434000
2015-02-24,1894.8052978515625,1906.7724892064143,1878.8490427117597,1882.8381064967105,81622800
