Date,Close,High,Low,Open,Volume
2015-01-02,1693.0615234375,1696.971596239896,1681.3313050303118,1685.2413778327077,84546800
2015-01-05,1689.1510009765625,1696.9711444996021,1681.3308574535229,1696.9711444996021,33363200
2015-01-06,1677.421142578125,1693.061432951814,1669.6009973912805,1681.3312151715472,58600000
2015-01-07,1696.9713134765625,1696.9713134765625,1677.4209527222242,1681.331024873092,50244400
2015-01-08,1712.611572265625,1716.5216443484233,1700.8813560172302,1704.7914281000285,63649600
2015-01-09,1739.982177734375,1755.6224669724368,1712.6116715677667,1720.4318161867977,170824800
2015-01-12,1693.0615234375,1739.9823970662528,1693.0615234375,1724.3421058566685,53126800
2015-01-13,1681.3310546875,1700.8814157885176,1661.7806935864826,1700.8814157885176,80360800
2015-01-14,1677.421142578125,1720.4319411057693,1677.421142578125,1693.061432951814,59552800
2015-01-15,1704.791259765625,1712.6114031590453,1681.330829585364,1704.791259765625,102689600
2015-01-16,1673.5108642578125,1700.8813690470759,1673.5108642578127,1681.3310084833165,95469200
2015-01-19,1677.421142578125,1704.7916507320804,1665.6909247978585,1665.6909247978585,100006000
2015-01-20,1681.3310546875,1681.3310546875,1657.8706213662792,1669.6008380268897,146990400
2015-01-21,1716.521728515625,1716.521728515625,1665.6907889468253,1681.3310780449174,74948000
2015-01-22,1720.431884765625,1724.3419572310015,1700.8815224387429,1716.5218123002487,71265600
2015-01-23,1779.0826416015625,1779.0826416015627,1732.1617807241587,1732.1617807241587,134785600
2015-01-26,1736.072265625,1751.7125563063064,1704.7916842623874,1743.8924109656532,150832800
2015-01-27,1732.16162109375,1739.981763852638,1720.4314069554175,1720.4314069554175,69340000
2015-01-28,1716.521728515625,1747.8023067118095,1716.521728515625,1743.8922344372866,64691600
2015-01-29,1716.521728515625,1724.341873064671,1708.701583966579,1712.611656241102,48526400
2015-01-30,1720.431884765625,1759.5326094193892,1720.431884765625,1739.9822470925071,98195200
2015-02-02,1759.5322265625,1767.3523697916667,1712.6113671875,1720.4315104166667,107672400
2015-02-03,1775.1727294921875,1779.08280158358,1763.4425132180102,1775.1727294921875,79597600
2015-02-04,1779.0826416015625,1790.8128568209136,1751.7121394230771,1782.9927133413462,135804000
2015-02-05,1759.5322265625,1775.1725130208333,1755.6221549479167,1771.26244140625,111271200
2015-02-06,1775.1727294921875,1794.72308994915,1767.3525853094027,1775.1727294921875,107253600
2015-02-09,1829.9136962890625,1849.4640562921509,1782.9928322816506,1782.9928322816506,128836000
2015-02-10,1818.1837158203125,1829.913933341734,1806.4534982988912,1814.2736433131722,79794000
2015-02-11,1837.733642578125,1865.104143637799,1829.913499418218,1849.4638573179852,123487600
2015-02-12,1841.6436767578125,1872.9242487621916,1837.7336052572653,1865.1041057610967,98841600
2015-02-13,1861.194580078125,1869.0147253725709,1853.374434783679,1857.2845074309018,84660800
2015-02-16,1841.6436767578125,1869.0141772616441,1837.7336052572653,1861.1940342605494,85716800
2015-02-17,1829.9136962890625,1853.3741282927685,1822.0935522878274,1841.6439122909155,28532800
2015-02-18,1865.1046142578125,1923.7557027564858,1857.284469124656,1876.834831957547,167238000
2015-02-20,1888.56494140625,1908.1153031185302,1872.924652036426,1872.924652036426,74989600
2015-02-23,1857.2845458984375,1884.6550549958881,1849.464400442023,1861.1946186266446,118434000
2015-02-24,1857.2845458984375,1869.0147640830592,1841.6442549856085,1845.5543277138158,81622800
2015-02-25,1861.194580078125,1865.104652725348,1853.374434783679,1861.194580078125,62958800
2015-02-26,1857.2845458984375,1861.1946186266446,1845.5543277138158,1845.5543277138158,76328800
2015-02-27,1876.8345947265625,1888.5648109436036,1845.5540181477866,1861.1943064371746,85468000
2015-03-02,1876.8345947265625,1880.7446667989095,1861.1943064371746,1861.1943064371746,96851600
2015-03-03,1861.194580078125,1892.4751612559085,1861.194580078125,1892.4751612559085,57682400
2015-03-04,1853.3743896484375,1869.0146798564413,1849.4643170964366,1857.2844622004386,47226000
2015-03-05,1849.46435546875,1872.924791267508,1845.5542828356238,1849.46435546875,67612800
2015-03-06,1892.4749755859375,1892.4749755859375,1853.3742529498643,1861.194397477079,77888400
2015-03-09,1845.553955078125,1880.7446025266486,1837.7338112006755,1876.8345305879238,105046000
2015-03-10,1880.74462890625,1888.5647728933861,1837.733836977001,1849.4640529577052,69672800
2015-03-11,1857.2845458984375,1880.7449822676808,1853.3744731702302,1861.1946186266446,98384400
2015-03-12,1861.194580078125,1880.7449433142397,1853.374434783679,1853.374434783679,45096400
2015-03-13,1861.194580078125,1884.6550159614626,1845.554289489233,1872.9247980197938,68090000
